_id,title,description,price,isFree,duration,date,startTime,endTime,modality,image,organizer,spots,platform,registrationLink,location,isActive,hasCertificate,certificateTemplate,certificateTemplateType,certificatePrice,keywords,createdAt,updatedAt,__v,whatsappGroupLink,status,createdBy,communityId
69fc40d3200eaa462f503ce2,Despega Norte 2026 - 2da Edición,"Tu próximo impulso profesional empieza este 25 de abril en ""Despega Norte"", el evento que conectará empresas líderes con el talento que impulsará el futuro del norte del país. 💼✨  Participa y accede a networking de alto nivel con más de 15 empresas líderes y 200 jóvenes profesionales.  ",3,False,4 horas,2026-05-19,07:00,11:00,Presencial,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1778139346916-Certificado%20DN.png,Juan Pablo Sinarahua,0,Google Meet,,"Cámara de Comercio de La Libertad, La Libertad, Trujillo",False,True,,despega,0,[],2026-05-07 07:35:47.829,2026-05-10 19:32:24.881,0,,,,
69fe1d00ba5dbd47e70efd63,Despega Norte 2026 - 2da Edición,"Tu próximo impulso profesional empieza este 25 de abril en ""Despega Norte"", el evento que conectará empresas líderes con el talento que impulsará el futuro del norte del país. 💼✨  Participa y accede a networking de alto nivel con más de 15 empresas líderes y 200 jóvenes profesionales.  ",0,True,2 minutos,2026-05-19,18:30,18:32,Presencial,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1778261247619-Certificado%20DN.png,Juan Pablo Sinarahua,0,Google Meet,,"Cámara de Comercio de La Libertad, La Libertad, Trujillo",False,True,,despega,10,[],2026-05-08 17:27:28.791,2026-06-04 16:34:07.082,0,,,,
6a0334498683a761cee1602d,Perú Hub Digital 2026,Invitación al Evento de Perú Hub Digital ,0,True,2 horas,2026-05-15,19:00,21:00,Presencial,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1778594888594-11%20%2726%20%20Laboral%20(5).png,,0,Google Meet,,Centro de Conveniciones - Parque de la Amistad,False,False,,default,0,[],2026-05-12 14:08:09.570,2026-06-04 16:34:55.555,0,,,,
6a0dcb4fcff9f4121a196604,"Despega Sur 2026: Conectando Empresas, Talento y Oportunidades","Organizado por Laboral.ai y Prolinkin, con la colaboración de Virtual Labs, buscando fortalecer conexiones estratégicas entre marcas empleadoras y talento calificado mediante espacios de networking, visibilidad y vinculación empresarial.",0,True,4 horas,2026-05-30,15:00,19:00,Presencial,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1779288910602-banner_sur.jpeg,Juan Pablo Sinarahua,140,Google Meet,,"Auditorio principal de Certus, Arequipa",True,True,,despega-sur,10,[],2026-05-20 14:55:11.573,2026-05-21 01:08:21.612,0,,,,
6a16b072af46e4ef9dc6054a,Feria Laboral - UCAL,Este 01 y 02 de Mayo participa de la Feria Laboral de UCAL y visita el Stand de Laboral.ai.,0,True,2 días,2026-06-01,09:00,09:00,Presencial,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1779871858097-Banner%20Cursos%20%20Laboral%20(13).png,Laboral.ai,0,Google Meet,,UCAL,True,False,,default,0,[],2026-05-27 08:50:58.716,2026-05-27 08:50:58.716,0,,,,
6a16b0f8af46e4ef9dc60550,Feria Laboral - Norbert Wiener,Este 05 de Mayo ven a la Feria Laboral Norbert Wiener y acércate al Stand de Laboral.ai.,0,True,1 días,2026-06-05,09:00,09:00,Presencial,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1779871991639-Banner%20Cursos%20%20Laboral%20(14).png,Laboral.ai,0,Google Meet,,Universidad Norbert Wiener,True,False,,default,0,[],2026-05-27 08:53:12.258,2026-05-27 08:53:12.258,0,,,,
6a1f9b203d186041f1095d0a,Taller: Difusión de Resultados de Startup Perú 11G,"Los invitamos al evento de cierre de nuestra participación en Startup Perú 11G, donde compartiremos sobre el crecimiento de Laboral.ai y próximos pasos. ",0,True,4 horas,2026-06-05,15:00,19:00,Presencial,https://laboralpdfstaging.blob.core.windows.net/cursos-imagenes/courses/1780508973355-Banner%20Cursos%20%20Laboral%20(17).png,Laboral.ai,0,Google Meet,," Av. República de Panamá 3944, Surquillo 15047 - Universidad Científica del Sur Sede Aramburú",False,False,,default,0,[],2026-06-03 03:10:24.312,2026-06-05 13:45:55.961,0,,,,
6a3580da1f289d2150d0c50e,Test,Test,10,False,4 horas,2026-06-20,19:00,23:00,Virtual,https://laboralpdf.blob.core.windows.net/cursos-imagenes/courses/1781891289327-Imagen21.jpg,Juan Daniel Rodriguez,50,Google Meet,https://meet.google.com/zbh-bynt-rqo,,False,True,,default,0,[],2026-06-19 17:48:10.114,2026-06-19 17:48:10.114,0,,under_review,6a3580171f289d2150d0c4c4,69d5e8cd90674a07214907a3
6a5d4b57094d6118baf3f5ce,Seminario Online | PLAFT en las Empresas,"El Instituto Latinoamericano de Gobernanza y Cumplimiento (ILAGC) invita a estudiantes, profesionales y público interesado a participar en este seminario especializado sobre la Prevención del Lavado de Activos y Financiamiento del Terrorismo (PLAFT) en el ámbito empresarial.

🎙️ Ponente: Jean Munive

📅 09 de agosto
• Funcionamiento del PLAFT dentro de una empresa.

📅 16 de agosto
• Implementación del PLAFT y consecuencias del incumplimiento.

🕙 Horario: 10:00 a. m. – 12:00 p. m. (Hora Perú)
💻 Modalidad: Zoom

✔️ Participación gratuita
📜 Certificación opcional

Una oportunidad para fortalecer conocimientos en cumplimiento normativo, gestión de riesgos y buenas prácticas de gobernanza aplicadas al entorno empresarial.",0,True,2 horas,2026-08-09,10:00,12:00,Virtual,https://laboralpdf.blob.core.windows.net/cursos-imagenes/courses/1784500406918-ChatGPT%20Image%2019%20jul%202026%2C%2017_32_54.png,ILAGC - Instituto Latinoamericano de Gobernanza y Cumplimiento,100,Google Meet,https://forms.gle/5p6j5XRKZhW6AzW38,,True,True,,default,25,[],2026-07-19 22:10:31.009,2026-07-19 22:33:27.840,0,,active,6a4481655df9e27919ba0cdc,6a44812f5df9e27919ba0cd3
6a5ea2059e10ebf257a0b941,Tech Her Week,"🚀 Tech Her Week 2026
Conecta con profesionales y estudiantes, descubre experiencias internacionales, aprende de referentes en STEM y amplía tu visión sobre las oportunidades que ofrece el mundo de la tecnología.

🌎 Atrévete a explorar nuevos caminos, fortalecer tu perfil y dar el siguiente paso hacia tu futuro.

✨️*Más información*
https://dulcet-kitten-8d4b90.netlify.app/

📲 Post del evento
https://www.instagram.com/p/Da_YPcfBkcF/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",0,True,5 horas,2026-07-24,14:00,19:00,Híbrido,https://laboralpdf.blob.core.windows.net/cursos-imagenes/courses/1784586756692-Cronograma%20Tech%20Her%20Week.jpg,DSC UNI & IEEE CIS UNI & AWS Student Group UNI,50,Google Meet,https://www.meetup.com/aws-sbg-at-national-university-of-engineering/events/315659854/,Auditorio de Telecomunicaciones FIEE UNI,True,False,,default,20,[],2026-07-20 22:32:37.618,2026-07-20 22:33:51.182,0,,active,6a5e4390f7f694adf44c3f49,6a5e4375f7f694adf44c3f40
